MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
INSTOR_WQX-2063,WAW010-0050,Stream,3,30,14,23.666666666666668,1994,1998,40.4811111111,-86.1461111111,IN
INSTOR_WQX-2064,WAW010-0051,Stream,11,182.3,16.4,58.75363636363637,1993,2003,40.4763888888,-86.1491666666,IN
INSTOR_WQX-2066,WAW010-0052,Stream,23,20320,23,1534.2242608695651,1994,2003,40.4127777777,-86.0127777777,IN
INSTOR_WQX-2067,WAW010-0053,Stream,27,18600,25,1254.0875555555556,1994,2003,40.435,-85.9947222222,IN
INSTOR_WQX-2068,WAW010-0054,Stream,18,18800,24,1824.3775,1994,2002,40.4488888888,-86.0316666666,IN
INSTOR_WQX-2069,WAW010-0055,Stream,24,18400,25,1376.9274166666667,1994,2003,40.4466666666,-86.0511111111,IN
INSTOR_WQX-2070,WAW010-0056,Stream,23,20000,27,1571.412956521739,1994,2003,40.4411111111,-86.07,IN
INSTOR_WQX-2071,WAW010-0057,Stream,25,17000,26,1296.17148,1998,2004,40.4411111111,-86.0891666666,IN
INSTOR_WQX-2072,WAW010-0058,Stream,8,130,39,82.78375,1994,2003,40.4472222222,-86.1105555555,IN
INSTOR_WQX-2073,WAW010-0059,Stream,3,75,33,54,1994,1998,40.4525,-86.1152777777,IN
INSTOR_WQX-2074,WAW010-0060,Stream,8,127.3,26,77.3375,1994,2003,40.4605555555,-86.1272222222,IN
INSTOR_WQX-2075,WAW010-0061,Stream,3,70,58,62,1994,1998,40.4638888888,-86.1405555555,IN
INSTOR_WQX-2076,WAW010-0062,Stream,14,166.6,13.6,62.80642857142857,1993,2003,40.4705555555,-86.1513888888,IN
INSTOR_WQX-2077,WAW020-0002,Stream,4,89,32,61.5,1993,1998,40.475,-86.1597222222,IN
INSTOR_WQX-2078,WAW010-0063,Stream,231,142,8.6,33.97133852813853,1998,2018,40.4861111111,-86.1075,IN
INSTOR_WQX-2079,WAW020-0003,Stream,4,89,42,63.25,1993,1998,40.4763888888,-86.165,IN
INSTOR_WQX-2080,WAW020-0004,Stream,251,323,12,71.6606139442231,1993,2018,40.4736111111,-86.1841666666,IN
INSTOR_WQX-2081,WAW020-0005,Stream,10,169.8,18,78.05,1993,2003,40.4537797869,-86.8513923439,IN
INSTOR_WQX-2082,WAW020-0006,Stream,2,241,210,225.5,1998,2004,40.3897222222,-86.1269444444,IN
INSTOR_WQX-2083,WAW020-0007,Stream,2,80,50,65,1994,1998,40.4008333333,-86.1080555555,IN
INSTOR_WQX-2084,WAW020-0008,Stream,2,80,49,64.5,1994,1998,40.4044444444,-86.11,IN
INSTOR_WQX-2085,WAW020-0009,Stream,7,132.7,54,90.94285714285714,1994,2003,40.4188888888,-86.1247222222,IN
