MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,n,MaxCl,MinCl,MeanCl,minYear,maxYear,Lat,Long,state
1VTDECWQ-501389,First Branch White River,Stream,1,10.2,10.2,10.2,2006,2006,43.9644,-72.4628,VT
1VTDECWQ-501390,First Branch White River,Stream,1,9.1,9.1,9.1,2004,2004,43.975,-72.4507,VT
1VTDECWQ-501391,First Branch White River,Stream,6,15.4,3.44,7.31,2006,2014,43.9786,-72.4461,VT
1VTDECWQ-501392,First Branch White River,Stream,3,6.45,3.4,5.01,2010,2010,43.9808,-72.4457,VT
1VTDECWQ-501393,First Branch White River,Stream,1,11.7,11.7,11.7,2004,2004,43.9994,-72.4528,VT
1VTDECWQ-501394,First Branch White River,Stream,1,11.2,11.2,11.2,2004,2004,44.0369,-72.4753,VT
1VTDECWQ-501395,Cram Brook,Stream,1,5.31,5.31,5.31,2006,2006,43.9639,-72.4731,VT
1VTDECWQ-501399,Second Branch White River,Stream,2,19,18.1,18.55,2004,2006,43.8267,-72.5675,VT
1VTDECWQ-501401,Second Branch White River,Stream,1,15.3,15.3,15.3,2004,2004,43.9656,-72.5561,VT
1VTDECWQ-501402,Kingsbury Brook,Stream,1,29.1,29.1,29.1,2006,2006,43.8806,-72.5917,VT
1VTDECWQ-501403,Blaisdell Brook,Stream,1,14.4,14.4,14.4,2006,2006,43.9581,-72.5667,VT
1VTDECWQ-501406,Third Branch White River,Stream,2,17.7,9.2,13.45,2004,2014,43.9119,-72.6536,VT
1VTDECWQ-501408,Third Branch White River,Stream,10,18.8,3.41,12.422,2004,2015,43.9268,-72.655,VT
1VTDECWQ-501409,Third Branch White River,Stream,7,13.48,2.93,9.807142857142857,2010,2015,43.9246,-72.6568,VT
1VTDECWQ-501414,Third Branch White River,Stream,1,4.6,4.6,4.6,2004,2004,43.9458,-72.7119,VT
1VTDECWQ-501417,Third Branch White River,Stream,2,2.81,2.33,2.5700000000000003,2009,2010,44.0533,-72.7445,VT
1VTDECWQ-501418,Third Branch White River,Stream,1,2.08,2.08,2.08,2009,2009,44.0642,-72.7432,VT
1VTDECWQ-501420,Smith Brook,Stream,2,36.9,36.36,36.629999999999995,2014,2014,43.9122,-72.6536,VT
1VTDECWQ-501421,Smith Brook,Stream,2,23.7,16.9,20.299999999999997,2006,2007,43.9114,-72.6572,VT
1VTDECWQ-501422,Smith Brook,Stream,2,21.4,14.4,17.9,2006,2007,43.9114,-72.6589,VT
1VTDECWQ-501423,Ayers Brook,Stream,1,16.3,16.3,16.3,2006,2006,43.9287,-72.6552,VT
1VTDECWQ-501424,Ayers Brook,Stream,1,19.6,19.6,19.6,2004,2004,43.96,-72.6528,VT
1VTDECWQ-501425,Ayers Brook,Stream,1,12.7,12.7,12.7,2006,2006,43.9828,-72.6508,VT
1VTDECWQ-501426,Adams Brook,Stream,1,70.4,70.4,70.4,2006,2006,43.9417,-72.6342,VT
1VTDECWQ-501434,Tweed River,Stream,1,9.3,9.3,9.3,2007,2007,43.7488,-72.8215,VT
1VTDECWQ-501435,Tweed River,Stream,1,12.1,12.1,12.1,2007,2007,43.7354,-72.8218,VT
1VTDECWQ-501438,West Branch White River,Stream,1,5.5,5.5,5.5,2004,2004,43.8567,-72.8178,VT
1VTDECWQ-501440,Bingo Brook,Stream,1,0.29,0.29,0.29,2003,2003,43.8713,-72.8952,VT
1VTDECWQ-501441,Chittenden Brook,Stream,1,0.28,0.28,0.28,2003,2003,43.8519,-72.8983,VT
1VTDECWQ-501442,Smith Brook,Stream,9,0.32,0.21,0.2588888888888889,2014,2016,43.8555,-72.9458,VT
1VTDECWQ-501449,Bloody Brook,Stream,1,70.4,70.4,70.4,2006,2006,43.7189,-72.3125,VT
1VTDECWQ-501450,Ompompanoosuc River,Stream,6,17.7,9.36,12.043333333333333,2004,2010,43.786,-72.2546,VT
1VTDECWQ-501451,Ompompanoosuc River,Stream,1,18.9,18.9,18.9,2005,2005,43.8239,-72.2497,VT
1VTDECWQ-501452,Ompompanoosuc River,Stream,1,11.8,11.8,11.8,2012,2012,43.9087,-72.2598,VT
1VTDECWQ-501453,West Branch Ompompanoosuc River,Stream,10,17.4,7.99,11.113,2004,2012,43.816,-72.275,VT
1VTDECWQ-501455,West Branch Ompompanoosuc River,Stream,10,17.5,7.03,10.216,2004,2013,43.8332,-72.3097,VT
1VTDECWQ-501457,West Branch Ompompanoosuc River,Stream,10,17.7,7.62,10.664,2004,2012,43.8379,-72.3477,VT
1VTDECWQ-501461,Sargent Brook,Stream,2,3.88,3.83,3.855,2017,2017,43.8354,-72.3479,VT
1VTDECWQ-501471,Cookville Brook,Stream,1,2.43,2.43,2.43,2007,2007,44.0247,-72.283,VT
1VTDECWQ-501475,Tabor Branch Trib 6,Stream,1,6.46,6.46,6.46,2007,2007,44.1214,-72.2311,VT
1VTDECWQ-501476,Powder Spring Brook,Stream,2,7.26,7.22,7.24,2008,2008,44.1255,-72.2422,VT
1VTDECWQ-501478,Pike Hill Brook,Stream,3,14.9,9.57,11.956666666666667,2005,2017,44.0592,-72.2406,VT
1VTDECWQ-501479,Pike Hill Brook,Stream,1,8.51,8.51,8.51,2007,2007,44.0538,-72.2526,VT
1VTDECWQ-501483,Pike Hill Brook,Stream,1,2.3,2.3,2.3,2017,2017,44.0571,-72.2806,VT
1VTDECWQ-501486,Peach Brook,Stream,1,9.81,9.81,9.81,2003,2003,44.1003,-72.1139,VT
1VTDECWQ-501488,Wells River,Stream,1,7.09,7.09,7.09,2017,2017,44.1544,-72.0489,VT
1VTDECWQ-501489,Wells River,Stream,1,9.38,9.38,9.38,2014,2014,44.1706,-72.0978,VT
1VTDECWQ-501490,Wells River,Stream,2,4.7,3.62,4.16,2004,2007,44.2089,-72.1933,VT
1VTDECWQ-501491,Wells River Trib 3,Stream,1,27.2,27.2,27.2,2003,2003,44.1547,-72.0881,VT
1VTDECWQ-501492,Scotch Burn,Stream,2,11.1,11,11.05,2007,2007,44.1768,-72.1003,VT
1VTDECWQ-501495,East Brook,Stream,3,3.99,2.9,3.6233333333333335,2012,2017,44.1764,-72.2067,VT
1VTDECWQ-501496,Stevens River,Stream,2,8.34,6.62,7.48,2010,2012,44.3112,-72.0998,VT
1VTDECWQ-501497,Peacham Hollow Brook,Stream,2,9.39,8.96,9.175,2007,2017,44.3146,-72.1096,VT
1VTDECWQ-501498,Passumpsic River,Stream,9,20,8.15,15.671111111111111,2004,2015,44.3932,-72.0221,VT
1VTDECWQ-501499,Passumpsic River,Stream,8,18.65,7.14,13.563749999999999,2004,2015,44.4107,-72.0141,VT
1VTDECWQ-501500,Passumpsic River,Stream,1,16.8,16.8,16.8,2004,2004,44.4694,-72.0139,VT
1VTDECWQ-501501,Passumpsic River,Stream,4,18.5,8.77,14.594999999999999,2010,2015,44.479,-72.0161,VT
1VTDECWQ-501502,Passumpsic River,Stream,3,18.5,9.26,13.886666666666667,2010,2010,44.4819,-72.012,VT
1VTDECWQ-501503,Passumpsic River,Stream,6,17.81,8.57,14.651666666666667,2010,2015,44.5257,-72.0025,VT
1VTDECWQ-501504,Passumpsic River,Stream,5,14.85,7.92,12.588000000000001,2010,2012,44.5284,-72.0035,VT
1VTDECWQ-501509,Joes Brook,Stream,1,2.6,2.6,2.6,2004,2004,44.4253,-72.2242,VT
1VTDECWQ-501513,Water Andric,Stream,1,9.65,9.65,9.65,2010,2010,44.3655,-72.0513,VT
1VTDECWQ-501514,Water Andric,Stream,1,17.2,17.2,17.2,2004,2004,44.3836,-72.0578,VT
